1,"Gli atti e i documenti del fascicolo
telematico non devono essere nuovamente
depositati nelle fasi successive del giudizio
o nei suoi ulteriori gradi. In tal senso:","Dispone l'art. 25-bis del d.lgs. del 31 dicembre
1992 n. 546.","Dispone l'art. 25-bis del d.lgs. del 31 dicembre
1992 n. 545.","Non dispone alcuna norma del d.lgs. del 31
dicembre 1992 n. 546.","Non dispone alcuna norma del d.lgs. del 31
dicembre 1992 n. 545."
357,"Ai sensi dell'art. 18 del d.lgs. del 18
dicembre 1997 n. 472:","In presenza di più soggetti legittimati, se
alcuno di essi adisce l'autorità giudiziaria, il
ricorso amministrativo è improponibile, quello
in precedenza proposto diviene improcedibile e
la controversia pendente deve essere riproposta
avanti al giudice ordinario nel termine di
centottanta giorni dalla notificazione della
decisione di improcedibilità.","In presenza di più soggetti legittimati, se alcuno
di essi adisce l'autorità giudiziaria, il ricorso
amministrativo è improponibile, quello in
precedenza proposto diviene improcedibile e la
controversia pendente deve essere riproposta
avanti al giudice ordinario nel termine di
centoventi giorni dalla notificazione della
decisione di improcedibilità.","In presenza di più soggetti legittimati, se alcuno
di essi adisce l'autorità giudiziaria, il ricorso
amministrativo è improponibile, quello in
precedenza proposto è comunque procedibile
purché la controversia pendente sia riassunta
avanti al giudice ordinario nel termine di
novanta giorni dalla notificazione della
decisione di riassunzione.","In presenza di più soggetti legittimati, se alcuno
di essi adisce l'autorità giudiziaria, il ricorso
amministrativo è improponibile, quello in
precedenza proposto è comunque procedibile
purché la controversia pendente sia essere
riassunta avanti al giudice ordinario nel termine
di centottanta giorni dalla notificazione della
decisione di riassunzione."
358,"Tenuto conto di quanto previsto dall'art. 47
del d.lgs. del 31 dicembre 1992, n. 546,
selezionare l'affermazione corretta:","L'ordinanza cautelare della corte di giustizia
tributaria di secondo grado non è impugnabile.","L'ordinanza cautelare della corte di giustizia
tributaria di secondo grado è impugnabile nel
termine perentorio di trenta giorni dall'avvenuto
deposito in segreteria.","L'ordinanza cautelare della corte di giustizia
tributaria di secondo grado è impugnabile nel
termine ordinatorio di trenta giorni
dall'avvenuto deposito in segreteria.","L'ordinanza cautelare della corte di giustizia
tributaria di secondo grado è impugnabile nel
termine di trenta giorni dall'avvenuta
comunicazione a tutte le parti."
359,"Il ricorrente, se dall'atto impugnato può
derivargli un danno grave ed irreparabile,
può chiedere alla Corte di giustizia tributaria
di primo o di secondo grado presso la quale
è pendente il giudizio la sospensione
dell'esecuzione dell'atto stesso con istanza
motivata proposta nel ricorso o con atto
separato notificata alle altre parti e
depositato in segreteria sempre che siano
osservate le disposizioni di cui all'art. 22 del
d.lgs. del 31 dicembre 1992 n. 546:","Così prevede l'art. 47 del d.lgs. del 31
dicembre 1992 n. 546.","Così prevede l'art. 49 del d.lgs. del 31 dicembre
1992 n. 545.","Così prevede l'art. 51 del d.lgs. del 31 dicembre
1992 n. 545.","Così prevede l'art. 4 del d.lgs. del 31 dicembre
1992 n. 546."
360,"Decadono dall'incarico i componenti delle
corti di giustizia tributaria di primo e
secondo grado i quali omettono, senza
giustificato motivo, di assumere l'incarico:","Entro trenta giorni dalla comunicazione del
decreto di nomina.","Entro venti giorni dalla comunicazione del
decreto di nomina.","Entro sessanta giorni dalla comunicazione del
decreto di nomina.","Entro novanta giorni dalla comunicazione del
decreto di nomina."
361,Selezionare l'affermazione corretta:,"Nel procedimento d'appello si osservano in
quanto applicabili le norme dettate per il
procedimento di primo grado, se non sono
incompatibili con le disposizioni della sezione
II del Capo III del d.lgs. del 31 dicembre 1992
n. 546.","Nel procedimento d'appello si osservano in
quanto applicabili le norme dettate per il
procedimento innanzi alla Corte di Cassazione,
se non sono incompatibili con le disposizioni
della sezione II del Capo III del d.lgs. del 31
dicembre 1992 n. 546.","Nel procedimento d'appello si osservano in
quanto applicabili le norme dettate per il
procedimento di primo grado, se non sono
incompatibili con le disposizioni della sezione
II del Capo II del d.lgs. del 31 dicembre 1992 n.
545.","Nel procedimento d'appello si osservano in
quanto applicabili le norme dettate per il
procedimento innanzi alla Corte di Cassazione,
se non sono incompatibili con le disposizioni
della sezione I del Capo II del d.lgs. del 31
dicembre 1992 n. 546."
362,"Tra i valori che l'ufficio competente
provvede ad iscrivere a ruolo in caso di
mancato pagamento delle somme dovute o
di una delle rate, compresa la prima, entro il
termine di pagamento della rata successiva:","V'è la sanzione di cui all'articolo 13 del decreto
legislativo 18 dicembre 1997, n. 471,
aumentata della metà e applicata sul residuo
importo dovuto a titolo di imposta.","V'è la sanzione di cui all'articolo 14 del decreto
legislativo 31 dicembre 1992 n. 545, aumentata
della metà e applicata sul residuo importo
dovuto a titolo di imposta.","V'è la sanzione di cui all'articolo 12 del decreto
legislativo del 31 dicembre 1992, n. 546,
diminuita della metà e applicata sul residuo
importo dovuto a titolo di imposta.","V'è la sanzione di cui all'articolo 12 del decreto
legislativo del 31 dicembre 1992, n. 546,
aumentata della metà e applicata sul residuo
importo dovuto a titolo di imposta."
363,"L'art. 39 del d.lgs. del 31 dicembre 1992 n.
546:","Disciplina le ipotesi di sospensione del
processo.","Disciplina le ipotesi di interruzione del
processo.",Disciplina le ipotesi di estinzione del processo.,"Disciplina le ipotesi di estinzione del processo
per cessata materia del contendere."
364,"La disciplina dedicata introduzione del
giudizio nel processo tributario è
rinvenibile:","Nella Sezione I, Capo I, titolo II del d.lgs. del
31 dicembre 1992 n. 546.","Nella Sezione II, Capo I, titolo III del d.lgs. del
31 dicembre 1992 n. 545.","Nella Sezione I, Capo III, titolo II del d.lgs. del
31 dicembre 1992 n. 545.","Nella Sezione II, Capo II, titolo III del d.lgs. del
31 dicembre 1992 n. 546, art. 1 e ss."
365,"Ai sensi dell'art. 22 del d.lgs. del 31
dicembre 1992 n. 546:","L'inammissibilità del ricorso è rilevabile
d'ufficio in ogni stato e grado del giudizio,
anche se la parte resistente si costituisce a
norma dell'art. 23 del d.lgs. del 31 dicembre
1992 n. 546.","L'inammissibilità del ricorso è rilevabile
d'ufficio entro l'udienza di trattazione del
giudizio di primo grado, anche se la parte
resistente si costituisce a norma dell'art. 23 del
d.lgs. del 31 dicembre 1992 n. 546.","L'inammissibilità del ricorso è rilevabile
d'ufficio entro la costituzione in giudizio del
primo grado, anche se la parte resistente si
costituisce a norma dell'art. 23 del d.lgs. del 31
dicembre 1992 n. 546.","L'inammissibilità del ricorso è rilevabile
d'ufficio entro l'udienza di trattazione del
giudizio di primo grado, purché la parte
resistente non si costituisca a norma dell'art. 23
del d.lgs. del 31 dicembre 1992 n. 546."
366,"L'art. 36 del d.lgs. del 31 dicembre 1992 n.
546:",Individua il contenuto della sentenza.,Individua il contenuto del ricorso introduttivo.,"Individua gli effetti della conciliazione
giudiziale, quando proposta dal giudice in
udienza.","Individua gli effetti della conciliazione
giudiziale, quando proposta dalle parti fuori
udienza."
367,"Quale norma del d.lgs. del 31 dicembre del
1992 n. 546 individua gli atti impugnabili
innanzi al giudice tributario?","L'art. 19 del d.lgs. del 31 dicembre del 1992 n.
546.","L'art. 16-bis del d.lgs. del 31 dicembre del 1992
n. 546.","L'art. 28 del d.lgs. del 31 dicembre del 1992 n.
546.","L'art. 31 del d.lgs. del 31 dicembre del 1992 n.
546."
368,"Ai sensi dell'art. 11 del d.lgs. del 31
dicembre del 1992 n. 546:","La Regione nei cui confronti è proposto il
ricorso può stare in giudizio anche mediante i
dirigenti degli uffici finanziari e tributari,
nonché mediante i funzionari individuati
dall'ente con proprio provvedimento.","La Regione nei cui confronti è proposto il
ricorso può stare in giudizio soltanto mediante
difensori del libero foro.","La Regione nei cui confronti è proposto il
ricorso può stare in giudizio soltanto mediante i
dirigenti degli uffici finanziari e tributari.","La Regione nei cui confronti è proposto il
ricorso può stare in giudizio soltanto mediante i
funzionari individuati dall'ente con proprio
provvedimento."
369,Selezionare l'affermazione corretta :,"Ciascuna parte entro il termine di cui
all'articolo 32, comma 2, del d.lgs. del 31
dicembre 1992 n. 546 può presentare istanza
per la conciliazione totale o parziale della
controversia.","Ciascuna parte entro il termine di cui all'articolo
31, comma 2, del d.lgs. del 31 dicembre 1992
n. 545 può presentare istanza per la
conciliazione totale o parziale della
controversia.","Ciascuna parte entro il termine di cui
all'articolo 32, comma 4, del d.lgs. del 31
dicembre 1992 n. 545 può presentare istanza
per la conciliazione totale o parziale della
controversia.","Ciascuna parte entro il termine di cui all'articolo
81, comma 3, del d.lgs. del 31 dicembre 1992
n. 546 può presentare istanza per la
conciliazione totale o parziale della
controversia."
370,"Stante l'art. 16 del d.lgs. del 31 dicembre del
1992 n. 546, qualunque comunicazione o
notificazione a mezzo del servizio postale si
considera fatta.",Nella data della spedizione.,Nella data della consegna.,"Alternativamente, nella data della spedizione o
nella data della consegna.","Nella data della spedizione; i termini che hanno
inizio dalla notificazione o dalla comunicazione
decorrono dalla data in cui l'atto è stato spedito
e non ricevuto."
371,"Ai sensi dell'art. 25-bis del d.lgs. del 31
dicembre 1992 n. 546:","Gli atti e i documenti del fascicolo telematico
non devono essere nuovamente depositati nelle
fasi successive del giudizio o nei suoi ulteriori
gradi.","Gli atti e i documenti del fascicolo telematico
devono essere nuovamente depositati nelle fasi
successive del giudizio o nei suoi ulteriori
gradi.","Gli atti e i documenti del fascicolo telematico
devono essere depositati nel primo grado di
giudizio e, nel caso di impugnazione, anche nel
secondo grado.","I documenti del fascicolo telematico non
devono essere depositati nelle fasi successive
del giudizio o nei suoi ulteriori gradi. Gli atti
del fascicolo telematico devono essere
depositati nel primo grado di giudizio e, nel
caso di impugnazione, anche nel secondo
grado."
372,"La giurisdizione tributaria è esercitata dalle
Corti di giustizia tributaria di primo grado e
dalle Corti di giustizia tributaria di secondo
grado di cui:","All'art. 1 del decreto del Presidente della
Repubblica 31 dicembre 1992, n. 546.","All'art. 10 del decreto del Presidente della
Repubblica 31 dicembre 1992, n. 546.","All'art. 41-bis del decreto del Presidente della
Repubblica 31 dicembre 1992, n. 545.","All'art. 1-bis del decreto del Presidente della
Repubblica 31 dicembre 1992, n. 546."
373,"Nel caso in cui il giudice, in composizione
monocratica o collegiale, rilevi che la
controversia ad esso assegnata avrebbe
dovuto essere trattata dalla corte di giustizia
tributaria in altra composizione, la rimette al
presidente della sezione per il rinnovo
dell'assegnazione. Così dispone:","L'art. 6, comma 1-ter, del d.lgs. del 31
dicembre 1992 n. 545.","L'art. 6, comma 2, del d.lgs. del 31 dicembre
1992 n. 546.","L'art. 16, comma 1-ter, del d.lgs. del 31
dicembre 1992 n. 546.","L'art. 16, comma 5, del d.lgs. del 31 dicembre
1992 n. 545."
374,"L'art. 6 del d.lgs. del 31 dicembre 1992 n.
546:","Disciplina i profili di astensione e ricusazione
dei componenti delle Corti di giustizia
tributaria di primo e secondo grado.","Disciplina i poteri delle Corti di giustizia
tributaria di primo e secondo grado.","Disciplina le spese di giudizio nel processo
tributario.","Disciplina le modalità di svolgimento delle
comunicazione e delle notificazioni."
375,"Ai sensi dell'art. 14 del Decreto del
Ministero dell'Economia e delle Finanze del
23 dicembre 2013 n. 163:","La segreteria della Corte di giustizia tributaria
forma il fascicolo informatico inserendovi
anche le attestazioni rilasciate dal S.I.Gi.T ed
ogni altro atto e documento informatico
acquisito dal SI.Gi.T.","La segreteria della Corte di giustizia tributaria
forma il fascicolo informatico inserendovi
esclusivamente le attestazioni rilasciate dal
S.I.Gi.T. Ogni altro atto e documento
informatico, acquisito o meno dal SI.Gi.T, non
deve essere inserito nel fascicolo informatico.","Il Presidente della Corte di giustizia tributaria
forma il fascicolo informatico inserendovi
anche le attestazioni rilasciate dal S.I.Gi.T ed
ogni altro atto e documento informatico
acquisito dal SI.Gi.T.","Il Presidente di sezione della Corte di giustizia
tributaria forma il fascicolo informatico
inserendovi anche le attestazioni rilasciate dal
S.I.Gi.T ed ogni altro atto e documento
informatico acquisito dal SI.Gi.T."
376,"Ai sensi dell'art. 4-bis del d.lgs. del 31
dicembre 1992 n. 546:","Nel procedimento davanti alla corte di giustizia
tributaria di primo grado in composizione
monocratica si osservano, in quanto applicabili
e ove non derogate dal d.lgs. del 31 dicembre
1992 n. 546, le disposizioni ivi contenute
relative ai giudizi in composizione collegiale.","Nel procedimento davanti alla corte di giustizia
tributaria di secondo grado, in qualunque
composizione, si osservano, in quanto
applicabili e ove non derogate dal d.lgs. del 31
dicembre 1992 n. 546, le disposizioni ivi
contenute relative ai giudizi in composizione
collegiale.","Nel procedimento davanti alla corte di giustizia
tributaria di secondo grado, in composizione
monocratica, si osservano, in quanto applicabili
e ove non derogate dal d.lgs. del 31 dicembre
1992 n. 546, le disposizioni ivi contenute
relative ai giudizi in composizione collegiale.","Nel procedimento davanti alla corte di giustizia
tributaria di primo grado, in qualunque
composizione, si osservano, in quanto
applicabili e ove non derogate dal d.lgs. del 31
dicembre 1992 n. 546, le disposizioni ivi
contenute relative ai giudizi in composizione
collegiale."
377,"Le decisioni delle Corti di giustizia
tributaria e dell'autorità giudiziaria sono
immediatamente esecutive:","Nei limiti previsti dall'articolo 19 del d.lgs. del
18 dicembre 1997 n. 472.","Nei limiti previsti dall'articolo 17 del d.lgs. del
31 dicembre 1992 n. 546.","Nei limiti previsti dall'articolo 15 del d.lgs. del
31 dicembre 1992 n. 545.","Nei limiti previsti dall'articolo 18 del d.lgs. del
20 marzo 1996 n. 457."
378,"La separazione tra i processi, se la riunione
tra questi determina un ritardo o ne rende
più gravosa la trattazione, è disposta:",Con ordinanza motivata.,Con decreto immediatamente esecutivo.,Con decreto motivato.,Con sentenza impugnabile.
379,"Ai sensi dell'art. 47-bis del d.lgs. del 31
dicembre 1992 n. 546:","Le controversie relative agli atti di cui al
comma 1 dell'art. 47-bis del d.lgs. del 31
dicembre 1992 n. 546 sono definite, nel
merito, nel termine di sessanta giorni dalla
pronuncia dell'ordinanza di sospensione di cui
al medesimo comma 1.","Le controversie relative agli atti di cui al
comma 1 dell'art. 47-bis del d.lgs. del 31
dicembre 1992 n. 546 sono definite, nel merito,
nel termine di novanta giorni dalla pronuncia
dell'ordinanza di sospensione di cui al comma 1
dell'art. 47 del d.lgs. del 31 dicembre 1992 n.
546.","Le controversie relative agli atti di cui al
comma 1 dell'art. 47-bis del d.lgs. del 31
dicembre 1992 n. 546 sono definite, nel merito,
nel termine di dieci giorni dalla pronuncia
dell'ordinanza di sospensione di cui al
medesimo comma 1.","Le controversie relative agli atti di cui al
comma 1 dell'art. 47-bis del d.lgs. del 31
dicembre 1992 n. 546 sono definite, nel merito,
nel termine di dieci giorni dalla pronuncia
dell'ordinanza di sospensione di cui al comma 1
dell'art. 47 del d.lgs. del 31 dicembre 1992 n.
546."
380,Selezionare l'affermazione corretta:,"Le disposizioni dell'art. 48 del d.lgs. del 31
dicembre 1992 n. 546 si applicano, in quanto
compatibili, anche alle controversie pendenti
davanti alla Corte di Cassazione.","Le disposizioni dell'art. 48 del d.lgs. del 31
dicembre 1992 n. 545 non si applicano, in ogni
caso, alle controversie pendenti davanti alla
Corte di Cassazione.","Le disposizioni dell'art. 48 del d.lgs. del 31
dicembre 1992 n. 545 si applicano soltanto alle
controversie pendenti davanti alle Corti di
giustizia tributaria di secondo grado.","Le disposizioni dell'art. 48 del d.lgs. del 31
dicembre 1992 n. 545 si applicano soltanto alle
controversie pendenti davanti alle Corti di
giustizia tributaria di primo grado."
381,"Ai sensi dell'art. 51 del d.lgs. del 31
dicembre 1992 n. 546:","Nel caso di revocazione per i motivi di cui ai
numeri 1, 2, 3 e 6 dell'art. 395 del codice di
procedura civile il termine di sessanta giorni
decorre dal giorno in cui è stato scoperto il
dolo o sono state dichiarate false le prove o è
stato recuperato il documento o è passata in
giudicato la sentenza che accerta il dolo del
giudice.","Nel caso di revocazione per i motivi di cui ai
numeri 1, 2, 3 e 6 dell'art. 395 del codice di
procedura civile il termine di novanta giorni
decorre dal giorno in cui è stato scoperto il dolo
o sono state dichiarate false le prove o è stato
recuperato il documento o è passata in giudicato
la sentenza che accerta il dolo del giudice.","Nel caso di revocazione per i motivi di cui ai
numeri 1, 2, 3 e 6 dell'art. 395 del codice di
procedura civile il termine di centoventi giorni
decorre dal giorno in cui è stato scoperto il dolo
o sono state dichiarate false le prove o è stato
recuperato il documento o è passata in
giudicato la sentenza che accerta il dolo del
giudice.","Nel caso di revocazione per i motivi di cui ai
numeri 1, 2, 3 e 6 dell'art. 395 del codice di
procedura civile il termine di centottanta giorni
decorre dal giorno in cui è stato scoperto il dolo
o sono state dichiarate false le prove o è stato
recuperato il documento o è passata in giudicato
la sentenza che accerta il dolo del giudice."
382,"Nei casi di definizione delle pendenze
tributarie previsti dalla legge le spese del
giudizio estinto restano a carico della parte
che le ha anticipate. Così prevede:","L'art. 46 del d.lgs. del 31 dicembre 1992 n.
546.",L'art. 45 del d.lgs. del 31 dicembre 1992 n. 545.,"L'art. 43 del d.lgs. del 31 dicembre 1992 n.
545.",L'art. 12 del d.lgs. del 31 dicembre 1992 n. 546.
383,"Ai sensi dell'art. 38 del d.lgs. del 31
dicembre 1992 n. 546:","La notifica della sentenza alle parti è effettuata
a norma dell'articolo 16 del d.lgs. del 31
dicembre 1992 n. 546.","La notifica della sentenza alle parti è effettuata
a norma dell'articolo 13 del d.lgs. del 31
dicembre 1992 n. 546.","La notifica della sentenza alle parti è effettuata
a norma dell'articolo 19 del d.lgs. del 31
dicembre 1992 n. 546.","La notifica della sentenza alle parti è effettuata
a norma dell'articolo 22 del d.lgs. del 31
dicembre 1992 n. 546."
384,"Ai sensi dell'art. 28 del d.lgs. del 31
dicembre 1992 n. 546, una volta notificato,
e dunque ricevuto, il reclamo, le altre parti
possono presentare memorie:","Nei successivi quindici giorni dalla notifica del
reclamo.","Nei successivi sessanta giorni dalla notifica del
reclamo.","Nei successivi trenta giorni dalla notifica del
reclamo.","Nei successivi quarantacinque giorni dalla
notifica del reclamo."
385,"Quale norma del d.lgs. del 31 dicembre del
1992 n. 546 si occupa dei profili di errore
sulla norma tributaria?","L'art. 8 del d.lgs. del 31 dicembre del 1992 n.
546.","L'art. 33 del d.lgs. del 31 dicembre del 1992 n.
546.","L'art. 67 del d.lgs. del 31 dicembre del 1992 n.
546.","L'art. 22 del d.lgs. del 31 dicembre del 1992 n.
546."
386,"Ai sensi dell'art. 45 del d.lgs. del 31
dicembre 1992 n. 546:","Le spese del processo estinto a norma del
comma 1 dell'art. 45 del d.lgs. del 31 dicembre
1992 n. 546, restano a carico delle parti che le
hanno anticipate.","Le spese del processo estinto a norma del
comma 1 dell'art. 45 del d.lgs. del 31 dicembre
1992 n. 546, seguono l'estinzione del processo e
non sono dovute.","Le spese del processo estinto a norma del
comma 1 dell'art. 45 del d.lgs. del 31 dicembre
1992 n. 546, restano in ogni caso a carico della
parte resistente.","Le spese del processo estinto a norma del
comma 1 dell'art. 45 del d.lgs. del 31 dicembre
1992 n. 546, restano in ogni caso a carico della
parte ricorrente."
387,"Che forma hanno i provvedimenti
presidenziali con i quali è dichiarata la
sospensione, l'interruzione e l'estinzione del
processo?",Hanno forma di decreto.,Hanno forma di ordinanza.,Hanno forma di sentenza.,"Hanno forma di ordinanza emanata dal giudice
collegiale."
388,Selezionare l'affermazione corretta:,"Nel solo caso di trattazione della controversia
in camera di consiglio sono consentite brevi
repliche scritte fino a cinque giorni liberi prima
della data della camera di consiglio.","Nel solo caso di trattazione della controversia in
pubblica udienza sono consentite brevi repliche
scritte fino a cinque giorni liberi prima della
data della camera di consiglio.","Nel caso di trattazione della controversia in
camera di consiglio o pubblica udienza sono
consentite brevi repliche scritte fino a cinque
giorni liberi prima della data della trattazione.","Nel caso di trattazione della controversia in
camera di consiglio o pubblica udienza sono
consentite brevi repliche scritte fino a tre giorni
liberi prima della data della trattazione."
389,Seleziona l'affermazione corretta:,"I fascicoli delle parti restano acquisiti al
fascicolo d'ufficio e sono ad esse restituiti al
termine del processo.","I fascicoli delle parti restano acquisiti al
fascicolo d'ufficio e non sono ad esse restituiti,
neppure al termine del processo.","I fascicoli delle parti restano acquisiti al
fascicolo d'ufficio e possono essere restituiti in
ogni stato e grado del processo.","I fascicoli delle parti restano acquisiti al
fascicolo d'ufficio e possono essere restituiti
soltanto prima dell'udienza di trattazione."
390,Ai fini del ricorso per la revocazione:,"La prova della sentenza passata in giudicato
che accerta il dolo del giudice deve essere data
mediante la sua produzione in copia autentica.","La prova della sentenza passata in giudicato che
accerta il dolo del giudice deve essere data
mediante la sua produzione originale.","La prova della sentenza passata in giudicato che
accerta il dolo del giudice può essere data
anche in via presuntiva.","La prova della sentenza passata in giudicato che
accerta il dolo del giudice può essere data anche
in via presuntiva purché sia prodotta la sentenza
in copia autentica."
391,"Ai sensi dell'art. 48-ter del d.lgs. del 31
dicembre 1992 n. 546:","Le sanzioni amministrative si applicano nella
misura del quaranta per cento del minimo
previsto dalla legge, in caso di
perfezionamento della conciliazione nel corso
del primo grado di giudizio.","Le sanzioni amministrative non si applicano in
caso di perfezionamento della conciliazione nel
corso del primo grado di giudizio.","Le sanzioni amministrative si applicano
integralmente in caso di perfezionamento della
conciliazione nel corso del primo grado di
giudizio.","Le sanzioni amministrative si applicano nella
misura del dieci per cento del minimo previsto
dalla legge, in caso di perfezionamento della
conciliazione nel corso del primo grado di
giudizio."
392,Selezionare l'affermazione corretta:,"Se l'oggetto del ricorso riguarda
inscindibilmente più soggetti, questi devono
essere tutti parte nello stesso processo e la
controversia non può essere decisa
limitatamente ad alcuni di essi.","Se l'oggetto del ricorso riguarda
inscindibilmente più soggetti, questi devono
essere tutti parte nello stesso processo ma la
controversia può essere decisa limitatamente ad
alcuni di essi.","Se l'oggetto del ricorso riguarda
inscindibilmente più soggetti, questi non
devono essere necessariamente tutti parte nello
stesso processo; tuttavia la controversia può
essere decisa in ogni caso nei confronti di
alcuni di essi.","Se l'oggetto del ricorso riguarda
inscindibilmente più soggetti, questi possono
non essere tutti parte nello stesso processo e la
controversia può non essere decisa nei confronti
di tutte le parti coinvolte."
393,"Ai sensi dell'art. 33 del d.lgs. del 31
dicembre 1992 n. 546:","Se una parte chiede la discussione in pubblica
udienza e in presenza e un'altra parte chiede
invece di discutere da remoto, la discussione
avviene in presenza, fermo il diritto, per chi lo
ha chiesto, di discutere da remoto.","Se una parte chiede la discussione in pubblica
udienza e in presenza e un'altra parte chiede
invece di discutere da remoto, la discussione
avviene da remoto, fermo il diritto, per chi lo ha
chiesto, di discutere in presenza.","Se una parte chiede la discussione in pubblica
udienza e in presenza e un'altra parte chiede
invece di discutere da remoto, la discussione
avviene in presenza per ogni parte coinvolta nel
processo.","Se una parte chiede la discussione in pubblica
udienza e in presenza e un'altra parte chiede
invece di discutere da remoto, le modalità di
discussione sono scelte dal Presidente della
Corte di giustizia tributaria,."
394,"Ai sensi dell'art. 25-bis del d.lgs. del 31
dicembre 1992 n. 546:","Al fine del deposito e della notifica con
modalità telematiche della copia informatica,
anche per immagine, di un atto processuale di
parte, di un provvedimento del giudice o di un
documento formato su supporto analogico e
detenuto in originale o in copia conforme, il
difensore e il dipendente di cui si avvalgono
l'ente impositore, l'agente della riscossione ed i
soggetti iscritti nell'albo di cui all'articolo 53
del decreto legislativo 15 dicembre 1997, n.
446, attestano la conformità della copia al
predetto atto secondo le modalità di cui al
decreto legislativo 7 marzo 2005, n. 82.","Al fine del deposito e della notifica con
modalità telematiche della copia informatica,
anche per immagine, di un atto processuale di
parte, di un provvedimento del giudice o di un
documento formato su supporto analogico e
detenuto in originale o in copia conforme, il
difensore e il dipendente di cui si avvalgono
l'ente impositore, l'agente della riscossione ed i
soggetti iscritti nell'albo di cui all'articolo 53 del
decreto legislativo 15 dicembre 1997, n. 446,
attestano la conformità della copia al predetto
atto secondo le modalità di cui al decreto
legislativo 7 marzo 2005, n. 83.","Al fine del deposito e della notifica con
modalità analogiche della copia informatica,
anche per immagine, di un atto processuale di
parte, di un provvedimento del giudice o di un
documento formato su supporto analogico e
detenuto in originale o in copia conforme, il
difensore e il dipendente di cui si avvalgono
l'ente impositore, l'agente della riscossione ed i
soggetti iscritti nell'albo di cui all'articolo 53 del
decreto legislativo 15 dicembre 1997, n. 446,
attestano la conformità della copia al predetto
atto secondo le modalità di cui al decreto
legislativo 7 marzo 2005, n. 82.","Al fine del deposito e della notifica con
modalità analogiche della copia informatica,
anche per immagine, di un atto processuale di
parte, di un provvedimento del giudice o di un
documento formato su supporto analogico e
detenuto in originale o in copia conforme, il
difensore e il dipendente di cui si avvalgono
l'ente impositore, l'agente della riscossione ed i
soggetti iscritti nell'albo di cui all'articolo 53 del
decreto legislativo 15 dicembre 1997, n. 446,
attestano la conformità della copia al predetto
atto secondo le modalità di cui al decreto
legislativo 7 marzo 2005, n. 83."
395,"Ai sensi dell'art. 8 del Decreto del Ministero
dell'Economia e delle Finanze del 23
dicembre 2013 n. 163:","In conformità alle disposizioni contenute
nell'articolo 16, comma 5, del decreto
legislativo 31 dicembre 1992, n. 546,
qualunque comunicazione o notificazione dei
documenti informatici, tramite PEC, si
considera effettuata, ai fini della decorrenza
dei termini processuali per il mittente, al
momento dell'invio al proprio gestore attestato
dalla relativa ricevuta di accettazione e, per il
destinatario, al momento in cui la
comunicazione o notificazione dei documenti
informatici è resa disponibile nella casella di
posta elettronica certificata.","In conformità alle disposizioni contenute
nell'articolo 16, comma 5, del decreto
legislativo 31 dicembre 1992, n. 546,
qualunque comunicazione o notificazione dei
documenti informatici, tramite PEC, si
considera effettuata, ai fini della decorrenza dei
termini processuali per il mittente, al momento
dell'invio al proprio gestore attestato dalla
relativa ricevuta di accettazione e, per il
destinatario, al momento i documenti
informatici comunicati o notificati sono
effettivamente consultati.","In conformità alle disposizioni contenute
nell'articolo 16, comma 5, del decreto
legislativo 31 dicembre 1992, n. 545,
qualunque comunicazione o notificazione dei
documenti informatici, tramite PEC, si
considera effettuata, ai fini della decorrenza dei
termini processuali per il mittente, al momento
dell'invio al proprio gestore attestato dalla
relativa ricevuta di accettazione e, per il
destinatario, al momento in cui la
comunicazione o notificazione dei documenti
informatici è resa disponibile nella casella di
posta elettronica certificata.","In conformità alle disposizioni contenute
nell'articolo 16, comma 5, del decreto
legislativo 31 dicembre 1992, n. 545,
qualunque comunicazione o notificazione dei
documenti informatici, tramite PEC, si
considera effettuata, ai fini della decorrenza dei
termini processuali per il mittente, al momento
dell'invio al proprio gestore attestato dalla
relativa ricevuta di accettazione e, per il
destinatario, al momento i documenti
informatici comunicati o notificati sono
effettivamente consultati."
396,"L'art. 63 del d.lgs. del 31 dicembre 1992 n.
546:",Si occupa di disciplinare il giudizio di rinvio.,Si occupa di disciplinare il giudizio di appello.,"Si occupa di disciplinare il giudizio di
revocazione.","Si occupa di disciplinare il giudizio di
ottemperanza."
397,"Ai sensi dell'art. 62-bis del d.lgs. del 31
dicembre 1992 n. 546:","La Corte di giustizia tributaria non può
pronunciarsi sulle richieste di cui al comma 1
dell'art. 62-bis del d.lgs. del 31 dicembre 1992
n. 546 se la parte istante non dimostra di avere
depositato il ricorso per cassazione contro la
sentenza.","La Corte di giustizia tributaria può pronunciarsi
sulle richieste di cui al comma 1 dell'art. 62-bis
del d.lgs. del 31 dicembre 1992 n. 546 anche se
la parte istante non dimostra di avere depositato
il ricorso per cassazione contro la sentenza.","La Corte di Cassazione non può pronunciarsi
sulle richieste di cui al comma 1 dell'art. 62-bis
del d.lgs. del 31 dicembre 1992 n. 546 se la
parte istante dimostra di non avere ancora
depositato il ricorso per cassazione contro la
sentenza.","La Corte di Cassazione non può pronunciarsi
sulle richieste di cui al comma 1 dell'art. 62-bis
del d.lgs. del 31 dicembre 1992 n. 546 se la
parte istante non dimostra di avere depositato il
ricorso per cassazione contro la sentenza."
